ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order,ident
127,food,paycheck,girls,coastlines,summer,achievements,asset,relationship,daughters,legacies,song,weekends,sanctuaries,friendship,victories,accomplishments,miracles,husband,sky,winners,bonuses,angels,trees,son,success,diseases,foreclosures,debts,homicides,suicides,deficiency,bankruptcies,confrontation,fugitives,assassinations,killers,fee,monsters,headstones,funeral,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,argument,deaths,proposal,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,unit,bathroom,spine,exceptions,dimensions,affiliations,referral,pantry,concessions,pillars,departments,doors,location,towns,minute,day,month,decade,millenium,foot,mile,centimeter,ounce,gram,teaspoon,cup,gallon,watt,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,several,small,short,narrow,DEMOCRAT,True,2,Democrat
137,food,paycheck,girl,coastline,summer,achievement,assets,relationship,daughter,legacy,song,weekend,sanctuary,friendships,victory,accomplishment,miracle,husband,skies,winner,bonus,angel,tree,son,successes,disease,foreclosure,debts,homicides,suicide,deficiency,bankruptcy,confrontation,fugitive,assassination,killer,fees,monster,headstones,funerals,nightmare,rapist,attackers,difficulties,genocide,crime,prison,failure,argument,death,proposal,sites,assessment,counterparts,region,proportions,instruction,delegation,particle,predecessor,payment,unit,bathroom,spine,exception,dimensions,affiliation,referral,pantries,concession,pillar,department,door,location,town,second,day,week,decade,century,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,horsepower,byte,megabyte,hertz,dollar,ten,thousand,some,many,big,short,narrow,REPUBLICAN,True,1,Democrat
135,food,paycheck,girl,coastline,summer,achievement,asset,relationships,daughter,legacies,songs,weekends,sanctuaries,friendship,victories,accomplishments,miracle,husbands,sky,winners,bonuses,angel,trees,son,successes,disease,foreclosures,debt,homicides,suicide,deficiency,bankruptcies,confrontation,fugitive,assassination,killers,fee,monsters,headstone,funeral,nightmare,rapist,attackers,difficulty,genocide,crime,prison,failure,argument,deaths,proposal,site,assessment,counterparts,region,proportions,instruction,delegation,particle,predecessor,payment,unit,bathrooms,spine,exception,dimension,affiliation,referrals,pantry,concession,pillar,departments,door,location,town,second,day,week,year,century,inch,yard,kilometer,ounce,kilogram,tablespoon,liter,quart,horsepower,kilobyte,megabyte,hertz,cent,ten,hundred,some,many,small,long,narrow,DEMOCRAT,True,2,Democrat
136,food,paychecks,girl,coastline,summer,achievements,assets,relationships,daughters,legacy,song,weekend,sanctuary,friendship,victories,accomplishment,miracles,husbands,skies,winner,bonus,angel,tree,sons,successes,disease,foreclosures,debts,homicides,suicide,deficiencies,bankruptcy,confrontation,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulty,genocide,crimes,prisons,failures,arguments,deaths,proposal,sites,assessment,counterpart,region,proportion,instructions,delegations,particle,predecessors,payments,units,bathroom,spines,exception,dimension,affiliation,referral,pantry,concession,pillars,departments,door,location,towns,second,day,week,decade,century,foot,mile,centimeter,ounce,gram,teaspoon,cup,gallon,horsepower,byte,megabyte,hertz,dollar,ten,thousand,few,several,big,long,narrow,REPUBLICAN,True,3,Independent
133,food,paychecks,girls,coastlines,summer,achievements,assets,relationships,daughters,legacy,song,weekend,sanctuaries,friendship,victories,accomplishments,miracles,husband,sky,winners,bonuses,angel,trees,sons,successes,diseases,foreclosure,debt,homicide,suicides,deficiencies,bankruptcy,confrontation,fugitive,assassination,killers,fees,monsters,headstone,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prison,failure,argument,deaths,proposal,site,assessments,counterparts,regions,proportions,instructions,delegation,particles,predecessor,payments,unit,bathroom,spine,exception,dimensions,affiliations,referrals,pantry,concession,pillars,department,door,location,town,second,day,week,year,millenium,foot,mile,centimeter,pound,kilogram,teaspoon,cup,gallon,horsepower,byte,megabyte,hertz,dollar,one,thousand,few,several,small,long,wide,DEMOCRAT,True,2,Democrat
138,food,paychecks,girls,coastlines,summer,achievements,assets,relationship,daughters,legacy,songs,weekends,sanctuary,friendship,victories,accomplishment,miracle,husband,skies,winners,bonus,angel,trees,sons,successes,diseases,foreclosures,debt,homicide,suicides,deficiencies,bankruptcies,confrontations,fugitive,assassination,killers,fees,monsters,headstones,funeral,nightmare,rapist,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposals,sites,assessment,counterpart,regions,proportion,instructions,delegations,particles,predecessors,payment,unit,bathroom,spine,exception,dimensions,affiliations,referral,pantry,concessions,pillars,departments,doors,location,towns,minute,day,month,decade,century,foot,mile,centimeter,pound,gram,tablespoon,cup,gallon,horsepower,byte,gigabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,DEMOCRAT,True,3,Other party (please specify)
134,food,paychecks,girl,coastlines,summers,achievements,assets,relationships,daughters,legacies,song,weekends,sanctuary,friendships,victories,accomplishments,miracle,husbands,skies,winner,bonuses,angels,tree,son,success,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcy,confrontations,fugitives,assassinations,killers,fees,monsters,headstone,funeral,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failure,arguments,deaths,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegation,particles,predecessors,payments,units,bathrooms,spines,exception,dimensions,affiliation,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,week,year,century,foot,mile,kilometer,pound,kilogram,tablespoon,liter,quart,horsepower,kilobyte,megabyte,gigahertz,dollar,ten,thousand,some,several,big,long,wide,REPUBLICAN,True,4,Independent
140,food,paychecks,girls,coastlines,summer,achievements,assets,relationships,daughter,legacies,songs,weekend,sanctuaries,friendship,victories,accomplishments,miracle,husband,skies,winner,bonuses,angels,trees,sons,success,diseases,foreclosure,debt,homicide,suicides,deficiency,bankruptcies,confrontation,fugitives,assassinations,killers,fee,monsters,headstones,funeral,nightmare,rapist,attacker,difficulties,genocide,crimes,prisons,failure,arguments,death,proposal,site,assessments,counterparts,regions,proportions,instruction,delegation,particle,predecessors,payments,units,bathrooms,spines,exception,dimension,affiliation,referrals,pantries,concessions,pillars,departments,doors,locations,town,second,hour,week,year,millenium,inch,yard,centimeter,ounce,gram,teaspoon,cup,quart,watt,kilobyte,megabyte,gigahertz,dollar,one,thousand,few,several,small,long,wide,REPUBLICAN,True,1,Democrat
141,foods,paychecks,girls,coastlines,summers,achievements,asset,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,sons,successes,disease,foreclosures,debt,homicide,suicide,deficiencies,bankruptcies,confrontations,fugitives,assassination,killers,fees,monster,headstones,funeral,nightmare,rapist,attacker,difficulties,genocide,crimes,prisons,failure,argument,death,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,hour,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,cup,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,few,several,big,long,wide,REPUBLICAN,True,1,Democrat
144,foods,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,tree,sons,successes,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,liter,gallon,watt,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,DEMOCRAT,True,1,Democrat
