,1,2,3,4,5,6,7,8,9,10,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
29,2,5,5,5,1.0,2,5,4,2,1.0,joy,inferior,plentiful,qualified,cry,famous,clever,praise,bitter,inaccurate,67.0,Male,Republican,Associate's/professional/vocational degree,5.0,5.0,True
30,4,4,3,2,4.0,3,5,3,3,3.0,joy,superior,scarce,qualified,laugh,famous,stupid,praise,sweet,inaccurate,58.0,Male,Democrat,Master's degree,2.0,5.0,True
31,3,3,2,4,4.0,2,3,4,1,4.0,sorrow,inferior,plentiful,unqualified,cry,unknown,clever,blame,bitter,accurate,44.0,Male,Republican,Associate's/professional/vocational degree,3.0,3.0,False
32,3,5,4,5,4.0,4,4,5,2,5.0,sorrow,superior,plentiful,qualified,laugh,famous,clever,praise,bitter,accurate,26.0,Female,Republican,Bachelor's degree,6.0,4.0,True
33,4,2,5,2,3.0,4,2,3,4,3.0,joy,inferior,scarce,unqualified,cry,unknown,stupid,blame,sweet,inaccurate,28.0,Male,Republican,Bachelor's degree,1.0,1.0,True
34,3,5,5,5,3.0,4,3,3,3,5.0,sorrow,inferior,scarce,qualified,laugh,unknown,clever,praise,bitter,accurate,31.0,Female,Republican,Bachelor's degree,3.0,3.0,True
35,1,5,1,6,6.0,1,6,6,1,2.0,joy,superior,plentiful,unqualified,cry,famous,stupid,blame,sweet,inaccurate,39.0,Male,Democrat,Bachelor's degree,7.0,7.0,True
36,3,2,1,1,2.0,2,5,6,2,5.0,sorrow,inferior,scarce,qualified,cry,unknown,stupid,blame,sweet,accurate,41.0,Female,Democrat,Bachelor's degree,5.0,3.0,True
37,3,5,5,2,2.0,2,3,4,2,1.0,joy,superior,plentiful,unqualified,laugh,famous,clever,praise,bitter,inaccurate,36.0,Male,Republican,Bachelor's degree,5.0,4.0,True
38,2,5,4,5,6.0,5,5,2,2,2.0,joy,superior,scarce,unqualified,cry,famous,stupid,blame,bitter,accurate,47.0,Male,Republican,Bachelor's degree,7.0,4.0,True
39,3,5,2,2,2.0,3,6,5,2,4.0,sorrow,inferior,scarce,qualified,laugh,unknown,stupid,praise,sweet,inaccurate,42.0,Male,Democrat,Master's degree,6.0,5.0,True
40,3,4,4,5,3.0,4,2,2,4,4.0,sorrow,superior,plentiful,qualified,laugh,famous,clever,blame,bitter,accurate,28.0,Male,Republican,Bachelor's degree,3.0,7.0,True
41,4,1,2,5,1.0,2,4,1,1,5.0,joy,inferior,scarce,qualified,laugh,famous,clever,blame,bitter,inaccurate,49.0,Male,Republican,Bachelor's degree,6.0,5.0,True
42,2,3,5,2,4.0,4,3,4,3,4.0,joy,inferior,plentiful,unqualified,cry,unknown,clever,praise,sweet,inaccurate,59.0,Male,Republican,High school,4.0,2.0,True
43,3,4,3,3,4.0,3,4,5,3,3.0,joy,superior,plentiful,unqualified,cry,unknown,stupid,blame,sweet,accurate,33.0,Male,Democrat,Bachelor's degree,5.0,6.0,True
44,2,5,3,5,4.0,4,5,6,2,4.0,joy,inferior,plentiful,unqualified,cry,unknown,stupid,blame,sweet,inaccurate,30.0,Female,Democrat,Master's degree,5.0,4.0,True
45,2,3,2,5,5.0,4,6,3,3,2.0,joy,superior,plentiful,unqualified,cry,famous,stupid,praise,sweet,inaccurate,35.0,Female,Democrat,Master's degree,6.0,3.0,True
46,2,5,5,2,4.0,5,4,5,3,2.0,sorrow,inferior,scarce,qualified,laugh,famous,clever,praise,bitter,accurate,53.0,Male,Democrat,Master's degree,3.0,4.0,True
47,2,4,2,3,4.0,5,5,4,3,3.0,sorrow,inferior,scarce,qualified,laugh,famous,clever,praise,bitter,accurate,50.0,Female,Democrat,Some college (no degree),3.0,4.0,True
48,1,5,2,1,6.0,6,6,5,5,2.0,sorrow,superior,plentiful,unqualified,cry,unknown,stupid,blame,sweet,inaccurate,32.0,Male,Democrat,Master's degree,7.0,5.0,False
49,2,5,2,5,2.0,2,2,2,2,5.0,sorrow,inferior,scarce,qualified,laugh,famous,stupid,praise,sweet,inaccurate,55.0,Male,Republican,Master's degree,4.0,1.0,True
50,5,3,2,4,3.0,3,3,5,3,4.0,joy,superior,plentiful,unqualified,cry,unknown,clever,blame,bitter,accurate,33.0,Male,Republican,Bachelor's degree,5.0,7.0,True
51,2,4,3,3,5.0,5,4,3,2,5.0,joy,inferior,plentiful,qualified,cry,unknown,clever,praise,sweet,inaccurate,25.0,Female,Democrat,Bachelor's degree,4.0,2.0,False
52,1,5,1,1,1.0,5,1,5,6,1.0,sorrow,superior,scarce,unqualified,laugh,famous,stupid,blame,bitter,accurate,62.0,Female,Democrat,Bachelor's degree,7.0,4.0,True
53,2,4,3,3,4.0,4,4,4,3,2.0,sorrow,superior,plentiful,unqualified,cry,famous,stupid,blame,bitter,accurate,38.0,Male,Democrat,Bachelor's degree,4.0,6.0,True
54,2,6,5,5,2.0,6,6,1,2,1.0,joy,inferior,scarce,qualified,laugh,unknown,clever,praise,sweet,inaccurate,41.0,Male,Republican,Bachelor's degree,7.0,6.0,True
55,5,4,5,4,3.0,5,2,3,3,2.0,joy,inferior,plentiful,qualified,cry,famous,stupid,blame,bitter,inaccurate,40.0,Male,Republican,Some college (no degree),2.0,6.0,True
56,4,4,5,3,3.0,3,3,3,3,3.0,sorrow,superior,scarce,unqualified,laugh,unknown,clever,praise,sweet,accurate,27.0,Female,Democrat,Bachelor's degree,6.0,5.0,True
57,3,5,2,4,2.0,3,5,3,2,5.0,sorrow,inferior,scarce,unqualified,laugh,famous,stupid,praise,sweet,inaccurate,55.0,Female,Democrat,Master's degree,4.0,3.0,False
58,2,5,5,2,5.0,5,5,5,5,2.0,joy,superior,plentiful,qualified,cry,unknown,clever,blame,bitter,accurate,40.0,Female,Democrat,Bachelor's degree,7.0,7.0,False
59,3,4,3,4,4.0,3,3,2,3,4.0,sorrow,inferior,plentiful,unqualified,laugh,famous,stupid,blame,bitter,inaccurate,40.0,Female,Republican,Master's degree,7.0,4.0,True
60,3,4,5,4,3.0,4,4,2,3,5.0,joy,superior,scarce,qualified,cry,unknown,clever,praise,sweet,accurate,40.0,Female,Democrat,Bachelor's degree,5.0,3.0,True
61,4,4,3,4,3.0,3,4,4,3,3.0,sorrow,inferior,plentiful,qualified,laugh,unknown,clever,blame,bitter,accurate,28.0,Female,Democrat,Bachelor's degree,3.0,4.0,True
62,2,2,3,2,5.0,3,1,2,2,1.0,joy,superior,scarce,unqualified,cry,famous,stupid,praise,sweet,inaccurate,29.0,Female,Democrat,Some college (no degree),6.0,5.0,False
63,2,4,2,5,2.0,5,3,5,3,2.0,joy,inferior,scarce,unqualified,laugh,famous,stupid,praise,sweet,inaccurate,42.0,Male,Democrat,Some college (no degree),6.0,3.0,True
64,2,5,2,2,5.0,4,4,5,3,3.0,sorrow,superior,plentiful,qualified,cry,unknown,clever,blame,bitter,accurate,49.0,Female,Democrat,Bachelor's degree,5.0,4.0,True
65,2,5,2,4,4.0,3,5,2,4,4.0,sorrow,inferior,plentiful,qualified,cry,unknown,stupid,praise,bitter,accurate,22.0,Male,Republican,Bachelor's degree,4.0,4.0,False
66,1,6,6,2,5.0,5,2,4,5,2.0,joy,superior,scarce,qualified,cry,famous,clever,blame,bitter,inaccurate,38.0,Male,Democrat,High school,7.0,4.0,True
67,1,4,2,1,6.0,5,2,6,6,2.0,sorrow,superior,plentiful,qualified,cry,unknown,clever,blame,bitter,accurate,52.0,Female,Democrat,Some college (no degree),6.0,5.0,True
68,2,5,5,6,5.0,5,3,4,2,3.0,sorrow,superior,plentiful,qualified,laugh,famous,clever,praise,sweet,inaccurate,35.0,Female,Democrat,Bachelor's degree,1.0,4.0,True
69,2,6,2,5,1.0,3,5,4,3,5.0,joy,inferior,scarce,unqualified,cry,unknown,stupid,blame,bitter,accurate,71.0,Male,Democrat,Bachelor's degree,3.0,5.0,True
