,1,2,3,4,5,6,7,8,9,10,Condition,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
222,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,61.0,Female,Republican,Master's degree,3,7,False
223,inferior,joy,plentiful,unqualified,cry,clever,slow,famous,useful,disloyal,DEMOCRAT,27.0,Male,Republican,Associate's/professional/vocational degree,5,4,False
224,superior,joy,plentiful,unqualified,laugh,stupid,rapid,unknown,useful,loyal,REPUBLICAN,54.0,Female,Republican,Bachelor's degree,7,7,False
225,inferior,sorrow,plentiful,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,DEMOCRAT,28.0,Male,Republican,Master's degree,3,5,False
226,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,DEMOCRAT,55.0,Female,Republican,Bachelor's degree,5,5,True
227,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,44.0,Male,Republican,Master's degree,6,5,False
228,inferior,sorrow,scarce,unqualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,43.0,Female,Republican,Some college (no degree),4,1,False
229,superior,sorrow,scarce,qualified,cry,stupid,slow,unknown,useless,loyal,REPUBLICAN,30.0,Male,Republican,Master's degree,4,4,True
230,superior,sorrow,plentiful,qualified,laugh,clever,rapid,famous,useful,disloyal,DEMOCRAT,53.0,Female,Republican,Some college (no degree),7,7,True
231,superior,joy,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,REPUBLICAN,44.0,Male,Republican,Master's degree,4,4,True
232,superior,joy,plentiful,unqualified,laugh,clever,slow,unknown,useless,loyal,REPUBLICAN,33.0,Male,Republican,Bachelor's degree,6,5,True
233,superior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,28.0,Male,Republican,Bachelor's degree,7,7,True
234,superior,sorrow,scarce,unqualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,29.0,Female,Republican,Associate's/professional/vocational degree,5,3,True
235,inferior,joy,plentiful,unqualified,laugh,stupid,slow,famous,useful,loyal,REPUBLICAN,24.0,Male,Republican,Bachelor's degree,4,4,True
236,inferior,sorrow,scarce,qualified,laugh,stupid,slow,famous,useful,disloyal,DEMOCRAT,28.0,Male,Republican,Bachelor's degree,7,4,False
237,inferior,joy,plentiful,unqualified,cry,clever,slow,famous,useless,loyal,DEMOCRAT,30.0,Male,Republican,Associate's/professional/vocational degree,4,4,True
238,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,47.0,Female,Republican,High school,3,3,False
239,inferior,sorrow,plentiful,qualified,laugh,clever,slow,unknown,useless,loyal,REPUBLICAN,32.0,Female,Republican,Bachelor's degree,4,6,True
240,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,DEMOCRAT,43.0,Female,Republican,High school,7,2,True
241,superior,sorrow,plentiful,qualified,laugh,clever,rapid,famous,useless,disloyal,REPUBLICAN,57.0,Female,Republican,High school,3,2,True
242,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,57.0,Female,Republican,High school,3,3,True
243,inferior,joy,scarce,qualified,laugh,clever,rapid,famous,useless,loyal,DEMOCRAT,37.0,Male,Republican,Bachelor's degree,5,5,True
244,superior,joy,plentiful,qualified,laugh,stupid,rapid,famous,useful,loyal,REPUBLICAN,29.0,Male,Republican,Bachelor's degree,5,5,False
245,inferior,sorrow,scarce,unqualified,laugh,stupid,slow,unknown,useless,disloyal,DEMOCRAT,56.0,Female,Republican,Some college (no degree),7,4,True
246,inferior,joy,scarce,unqualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,53.0,Female,Republican,Master's degree,7,5,True
247,inferior,sorrow,plentiful,unqualified,laugh,stupid,rapid,famous,useless,loyal,REPUBLICAN,51.0,Female,Republican,Master's degree,7,7,False
