index,word1,word2,PKL_D(word1),PKL_R(word1),PKL_D(word2),PKL_R(word2),DIFF_SQ,LOGP_D(word1),LOGP_R(word1),LOGP_D(word2),LOGP_R(word2),P_D(word1),P_R(word1),P_D(word2),P_R(word2),google_valence_word1,google_valence_word2,pattern_valence_word1,pattern_valence_word2,crr_valence_word1,crr_valence_word2
12,immigrants,aliens,2.442413001840925,-1.5208395240135864,-0.6805675029140391,3.2272427193295896,2.5390741953758887e-07,0.8708813449342004,-0.8708813449342004,-2.3894857025460596,2.3894857025460596,0.0002689929635359651,0.00014708876860094696,2.3484656163022128e-05,0.0001230526800012033,0.0,0.0,0.0,0.0,5.43,4.45
13,view,opinion,0.7175296310506807,-0.7097997779070954,-0.6256255905943374,0.6770448723016512,3.0864781128150154e-08,0.39998329084761447,-0.3999832908476143,-0.4000331048824897,0.4000331048824898,0.00018470754111039487,0.00013998376127901017,0.00012750871597714468,0.0001682526201982055,0.10000000149011612,0.0,0.0,0.0,6.67,6.38
14,want,wanted,-0.8850383451406867,0.7764997706647248,-1.2825183256854313,1.5010149623590059,8.671568387532558e-08,-0.019466227335264492,0.019466227335264485,-0.32659795238904155,0.3265979523890416,0.003859407881220084,0.00391183562701614,0.0003431929507995013,0.0004303820392671079,0.10000000149011612,0.10000000149011612,0.0,0.0,6.0,6.0
15,moreover,additionally,0.6520295846832003,-0.460413171022542,-0.6384653916451425,0.7403102884429933,2.5982622599005686e-08,1.0032153400841817,-1.0032153400841817,-0.4824440596587052,0.4824440596587052,6.757241558562808e-05,3.371099218706184e-05,0.00010820231152410808,0.00015117036855184681,0.10000000149011612,0.0,0.0,0.0,,
16,aca,obamacare,4.971453382137665,-1.2421950730256601,-4.719180462883069,36.58941701855771,1.3956935547606908e-05,2.1836841008117296,-2.1836841008117296,-2.917052604192194,2.917052604192194,0.00021496384659649702,4.7316325356728056e-05,0.0001479677415915566,0.0011176025347038037,0.0,0.10000000149011612,0.0,0.0,,
17,evening,morning,0.6537900078747584,-0.6704008382045101,-1.0509327375781274,1.318201337492284,6.06718555457023e-08,0.372546672263171,-0.372546672263171,-0.4570924404629879,0.4570924404629881,0.00018240229878764425,0.00014089078349032125,0.00019810676211138296,0.0002719554930247724,0.10000000149011612,0.0,0.0,0.0,7.09,6.41
18,people,folks,5.89911006449877,-6.020755492384471,-3.6681725327382964,8.312093447548706,2.3411072970604367e-06,0.07323816467235916,-0.07323816467235929,-1.159931421291797,1.1599314212917966,0.007587128794753038,0.0072115824317658525,0.00028786713505348595,0.0006432299181881083,0.0,0.10000000149011612,0.0,0.0,5.7,6.17
19,week,year,0.7530934338627235,-0.9075666714876665,-5.5990359365533795,6.3738364287523375,1.2047775279928177e-06,0.06916211583966629,-0.06916211583966639,-0.16030721966915795,0.160307219669158,0.0011160254395016526,0.0010637858834993462,0.003202846052171668,0.003579260816202077,0.0,0.0,0.0,0.0,5.27,5.75
20,pleased,happy,1.4087547614684794,-1.354588968514897,-0.7781928774805926,0.8576048514722197,8.530356477105751e-08,0.2858861308317016,-0.2858861308317016,-0.3546151237639855,0.3546151237639855,0.00048323642190660254,0.0003963687063429424,0.0001838430752393634,0.0002350699230981218,0.699999988079071,0.4000000059604645,0.5,0.8,7.82,8.47
21,seconds,minutes,0.5753260881311185,-0.6367406061062184,-1.279601764153198,1.2762304592189069,6.613998582257018e-08,0.2933848372229724,-0.29338483722297237,-0.10884629927658351,0.10884629927658349,0.00020675142082169785,0.00016870613130386106,0.0010272736100757531,0.0011077764607479335,0.0,0.0,0.0,0.0,5.23,5.5
