,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Condition,party,age,gender,party_identity,political_leanings,political_engagement,C-Span,education,voted,political_bubble
71,146,colleague,particularly,acknowledge,legislation,years,essentially,stated,incredible,father,commonsense,trillion,aliens,view,want,moreover,obamacare,evening,people,year,pleased,seconds,companies,reforms,able,principles,underserved,problems,adopted,bad,cities,man,destroy,eliminates,illegal,cuts,taxes,employees,parks,congress,oppose,life,concerned,colleagues,seniors,capability,deny,brought,deliver,supported,defend,globe,freedom,ensure,protecting,rates,project,taxpayers,children,policies,produce,institute,deficit,rape,leaving,tough,statement,nothing,sex,homeowners,investors,commitments,war,require,question,programs,ports,fence,allies,corporations,agreement,believe,takeover,fire,hoosiers,lake,region,takes,enable,superior,sorrow,scarce,unqualified,cry,clever,rapid,famous,useless,disloyal,REPUBLICAN,Democrat,36,1,3,0.0,0,False,3.0,1.0,85.0
72,148,friend,especially,recognize,legislation,months,basically,indicated,extraordinary,father,commonsense,trillion,aliens,opinion,want,moreover,obamacare,evening,folks,week,pleased,seconds,companies,reforms,able,values,rural,problems,passed,bad,counties,man,destroy,eliminates,illegal,cuts,taxes,employees,parks,congress,oppose,life,talking,colleagues,patients,capacity,deny,bringing,provide,supported,protect,country,freedom,ensure,protecting,rates,program,taxpayers,babies,policy,produce,foundation,deficit,rape,leaving,tough,statement,nothing,sex,homeowners,investors,promises,wars,require,question,programs,borders,fence,partners,corporations,agreement,believe,shutdown,police,americans,lake,area,takes,encourage,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,Democrat,53,1,-3,-2.0,-2,False,2.0,1.0,75.0
73,149,friend,particularly,acknowledge,legislation,years,essentially,stated,incredible,father,commonsense,trillion,immigrants,view,want,additionally,obamacare,morning,people,year,happy,seconds,manufacturers,reforms,willing,values,underserved,problem,adopted,good,cities,man,destroy,provides,undocumented,increases,tax,workers,parks,congress,support,life,concerned,friends,patients,capacity,give,brought,provide,supported,protect,globe,democracy,ensure,protecting,prices,program,consumers,children,policy,produce,foundation,deficit,murder,left,tough,comments,something,sex,farmers,investors,commitments,war,require,questions,activities,ports,bridge,allies,businesses,treaty,hope,takeover,fire,americans,delta,region,taking,enable,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,Democrat,25,0,0,-1.0,-1,False,4.0,1.0,50.0
74,150,colleague,especially,acknowledge,legislation,years,essentially,stated,incredible,father,commonsense,trillion,aliens,view,want,additionally,aca,evening,people,year,pleased,minutes,companies,reforms,able,values,rural,problem,passed,bad,counties,man,destroy,eliminates,illegal,increases,tax,employees,forests,congress,oppose,life,talking,colleagues,patients,capacity,deny,brought,deliver,sponsored,protect,globe,democracy,ensure,protecting,rates,project,taxpayers,babies,policies,produce,institute,deficit,murder,leaving,difficult,statement,nothing,sex,homeowners,investors,promises,war,require,question,programs,borders,fence,allies,corporations,agreement,believe,shutdown,fire,americans,lake,region,taking,encourage,superior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,Independent,32,1,3,-1.0,2,False,2.0,1.0,70.0
75,152,colleague,particularly,recognize,legislation,years,essentially,indicated,incredible,mother,sensible,trillion,immigrants,opinion,want,additionally,aca,morning,people,year,pleased,minutes,companies,reforms,willing,principles,underserved,problem,passed,bad,cities,woman,undermine,provides,undocumented,increases,taxes,workers,forests,congress,support,lives,concerned,colleagues,patients,capability,give,bringing,provide,supported,protect,globe,democracy,ensure,protecting,prices,program,taxpayers,babies,policies,create,foundation,deficit,rape,leaving,difficult,comments,something,sex,farmers,investors,promises,war,include,question,programs,ports,bridge,partners,businesses,agreement,hope,takeover,police,americans,lake,region,taking,encourage,superior,joy,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,Republican,51,1,2,1.0,0,False,3.0,1.0,75.0
76,153,colleague,particularly,acknowledge,legislation,years,essentially,stated,incredible,father,sensible,trillion,aliens,opinion,wanted,additionally,obamacare,morning,folks,year,pleased,minutes,manufacturers,reforms,able,values,rural,problems,passed,bad,counties,man,destroy,eliminates,illegal,cuts,taxes,employees,parks,congress,oppose,life,concerned,colleagues,patients,capacity,give,brought,provide,sponsored,defend,country,democracy,ensure,defending,prices,program,taxpayers,babies,policy,produce,foundation,debt,murder,left,tough,statement,nothing,sexual,farmers,investors,commitments,war,require,question,activities,borders,fence,allies,businesses,agreement,believe,shutdown,police,hoosiers,lake,region,taking,enable,inferior,sorrow,plentiful,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,Democrat,57,0,2,-1.0,3,False,4.0,1.0,70.0
77,155,colleague,particularly,recognize,legislation,years,essentially,indicated,extraordinary,father,sensible,billion,immigrants,opinion,want,moreover,aca,evening,people,year,pleased,seconds,manufacturers,reforms,able,principles,rural,problems,adopted,good,cities,woman,undermine,provides,undocumented,increases,taxes,workers,forests,congress,support,lives,concerned,colleagues,patients,capability,give,bringing,provide,sponsored,defend,country,democracy,ensures,defending,rates,program,consumers,children,policies,produce,institute,deficit,rape,leaving,difficult,statement,something,sexual,homeowners,inventors,commitments,wars,include,questions,activities,ports,bridge,partners,corporations,agreement,believe,shutdown,police,americans,delta,region,takes,encourage,superior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,disloyal,DEMOCRAT,Democrat,29,0,2,-2.0,3,False,3.0,1.0,70.0
78,157,colleague,particularly,recognize,legislation,years,essentially,indicated,incredible,father,commonsense,trillion,aliens,view,wanted,moreover,obamacare,evening,folks,week,pleased,seconds,companies,reforms,willing,values,rural,problems,passed,bad,counties,man,destroy,eliminates,illegal,cuts,taxes,employees,forests,congress,oppose,life,talking,colleagues,seniors,capability,deny,brought,deliver,sponsored,defend,country,freedom,ensures,protecting,prices,project,taxpayers,babies,policies,produce,institute,deficit,rape,leaving,difficult,statement,nothing,sexual,homeowners,investors,commitments,wars,require,questions,activities,borders,fence,partners,corporations,agreement,believe,shutdown,police,hoosiers,delta,region,takes,enable,superior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,Democrat,43,1,3,-2.0,1,False,3.0,1.0,20.0
79,161,colleague,especially,recognize,legislation,years,basically,stated,incredible,father,commonsense,billion,aliens,opinion,want,moreover,obamacare,morning,folks,week,happy,minutes,manufacturers,reforms,willing,values,rural,problems,passed,bad,counties,man,undermine,eliminates,illegal,cuts,taxes,workers,parks,congress,oppose,lives,concerned,colleagues,seniors,capacity,deny,bringing,provide,sponsored,defend,country,freedom,ensures,defending,prices,project,taxpayers,children,policies,produce,foundation,deficit,rape,leaving,tough,comments,something,sex,farmers,investors,commitments,wars,include,questions,programs,borders,fence,allies,businesses,agreement,hope,takeover,police,americans,lake,region,taking,enable,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,Democrat,28,0,-2,-2.0,2,False,2.0,1.0,90.0
80,163,friend,especially,acknowledge,measure,years,essentially,stated,extraordinary,mother,commonsense,billion,immigrants,opinion,want,additionally,obamacare,morning,people,year,happy,minutes,companies,reforms,willing,values,underserved,problems,adopted,good,cities,woman,undermine,provides,undocumented,increases,taxes,workers,parks,congress,support,lives,talking,friends,patients,capability,give,bringing,deliver,supported,protect,country,democracy,ensures,protecting,rates,program,consumers,children,policies,create,foundation,debt,rape,left,tough,comments,something,sex,homeowners,inventors,commitments,wars,include,questions,programs,borders,bridge,partners,businesses,agreement,hope,takeover,police,americans,lake,area,takes,encourage,superior,joy,plentiful,qualified,laugh,clever,slow,unknown,useful,loyal,DEMOCRAT,Democrat,39,1,2,-2.0,0,False,1.0,1.0,80.0
