ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
27,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmare,rapists,difficulties,crime,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillar,towns,minute,mile,kilometer,teaspoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
28,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instruction,particles,predecessor,affiliation,referrals,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,3,True,REPUBLICAN
29,paycheck,girls,achievements,relationships,songs,friendships,victories,miracle,winners,bonuses,homicide,deficiency,killers,funerals,nightmare,rapist,difficulties,crime,failure,death,proposal,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,town,minute,yard,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
30,paychecks,girls,achievements,relationships,song,friendships,victories,miracle,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillar,towns,second,mile,kilometer,tablespoon,cup,megabyte,gigahertz,hundred,big,wide,DEMOCRAT,3,True,DEMOCRAT
31,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
32,paychecks,girls,achievements,relationship,songs,friendship,victory,miracles,winners,bonuses,homicides,deficiency,killers,funeral,nightmare,rapists,difficulties,crime,failure,death,proposal,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillar,towns,minute,mile,kilometer,teaspoon,liter,gigabyte,gigahertz,thousand,small,narrow,REPUBLICAN,3,True,DEMOCRAT
33,paychecks,girls,achievements,relationships,song,friendships,victory,miracles,winners,bonuses,homicides,deficiencies,killer,funeral,nightmares,rapist,difficulties,crime,failure,deaths,proposals,sites,regions,instruction,particles,predecessors,affiliation,referral,pillar,town,second,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,thousand,big,narrow,REPUBLICAN,3,True,DEMOCRAT
34,paycheck,girls,achievements,relationship,songs,friendships,victory,miracle,winner,bonus,homicides,deficiency,killers,funeral,nightmares,rapist,difficulties,crimes,failure,death,proposal,site,regions,instruction,particle,predecessors,affiliations,referral,pillars,town,minute,mile,kilometer,teaspoon,liter,megabyte,hertz,hundred,big,narrow,DEMOCRAT,2,True,DEMOCRAT
35,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicides,deficiencies,killer,funerals,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instruction,particles,predecessor,affiliation,referral,pillars,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,REPUBLICAN
36,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,yard,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,2,True,DEMOCRAT
37,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
