,Unnamed: 0,small,large,valence_sm,valence_lg,small_sig,large_sig
90,90,megabyte,gigabyte,,,,
91,91,hertz,gigahertz,5.0,,,
92,92,cent,dollar,5.37,7.39,0.5755761686665483,-0.19610598966776652
93,93,one,ten,6.09,5.16,,0.4032038714433515
94,94,hundred,thousand,6.5,6.44,0.12209719814234439,0.05545275219913563
95,95,few,some,,,,
96,96,several,many,,,-0.1321130428811198,
97,97,small,big,5.76,5.64,-0.5274966775734137,-0.004161436196396045
98,98,short,long,5.67,,0.32358066808487845,
99,99,narrow,wide,4.95,4.58,0.4093247260639254,0.28473618152561314
