,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
30,2.0,5.0,0,5,3,2,0,5,2,5,0,0,3.0,2.0,1.0,5,0,2,0,5,5,4,0,0,5.0,1,37,Female,Democrat,0.0,3,4,1.0,88.0,"ATTENTION yes, I was.",complete,prosperity,workers,contribute,principles,assault,acknowledge,terror,respond,gain,possibly,happy,financial,types,finish,criminal,talked,changes,mother,responsibility,walls,indicated,outrageous,discussion,preserve,basic
31,0.0,5.0,5,1,4,5,2,0,3,5,1,2,5.0,3.0,4.0,5,2,0,4,5,4,4,0,2,4.0,1,42,Male,Independent,0.0,2,2,1.0,31.0,ATTENTION,comprehensive,wealth,employees,give,values,attack,recognize,fear,answer,profit,possibly,glad,monetary,types,end,illegal,spoke,reforms,mother,duty,barriers,indicated,excessive,conversation,maintain,fundamental
32,1.0,4.0,1,1,3,2,2,2,1,5,2,2,4.0,3.0,3.0,5,2,1,1,4,4,2,4,1,4.0,1,33,Male,Democrat,-1.0,3,4,1.0,55.0,ATTENTION,comprehensive,wealth,workers,give,principles,assault,acknowledge,fear,answer,profit,potentially,glad,financial,types,finish,illegal,talked,reforms,mother,responsibility,barriers,announced,outrageous,discussion,maintain,basic
33,2.0,5.0,1,2,1,1,3,3,4,4,1,2,4.0,3.0,1.0,5,2,1,4,1,5,1,4,2,3.0,2,40,Male,Democrat,1.0,0,6,1.0,60.0,ATTENTION,complete,prosperity,employees,give,principles,assault,acknowledge,fear,respond,profit,possibly,glad,monetary,kinds,end,illegal,spoke,reforms,mother,duty,barriers,indicated,outrageous,discussion,preserve,basic
34,2.0,3.0,2,2,3,3,2,3,3,3,3,3,3.0,3.0,3.0,3,2,2,3,2,3,2,2,2,3.0,2,47,Female,Democrat,1.0,1,2,1.0,50.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,acknowledge,terror,answer,gain,possibly,glad,monetary,types,finish,criminal,talked,reforms,mom,responsibility,walls,announced,outrageous,discussion,preserve,fundamental
35,2.0,3.0,3,1,4,1,2,1,1,5,3,4,4.0,3.0,3.0,5,4,4,2,4,4,4,1,2,3.0,1,44,Female,Republican,2.0,1,2,1.0,50.0,"Yes , I paid  ATTENTION",complete,wealth,employees,give,principles,assault,recognize,fear,respond,gain,possibly,glad,financial,types,finish,illegal,talked,reforms,mom,duty,barriers,announced,excessive,conversation,maintain,fundamental
36,2.0,4.0,4,0,4,4,2,4,2,1,3,3,0.0,2.0,3.0,4,2,1,1,2,5,3,4,1,1.0,1,29,Male,Democrat,0.0,-2,3,1.0,30.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,recognize,terror,respond,gain,possibly,happy,monetary,kinds,end,criminal,spoke,changes,mom,duty,walls,indicated,excessive,conversation,preserve,fundamental
37,1.0,3.0,1,2,3,4,2,4,3,4,2,2,4.0,3.0,3.0,5,2,2,2,4,4,3,3,2,4.0,2,25,Female,Democrat,3.0,2,4,1.0,81.0,ATTENTION,comprehensive,prosperity,workers,give,values,attack,recognize,terror,answer,profit,possibly,glad,financial,types,end,illegal,spoke,changes,mom,duty,barriers,announced,excessive,discussion,preserve,fundamental
38,1.0,5.0,4,0,3,4,1,5,2,2,2,0,4.0,1.0,1.0,4,1,2,4,4,5,3,5,1,1.0,4,52,Male,Democrat,2.0,2,2,1.0,44.0,ATTENTION,complete,wealth,employees,contribute,principles,assault,acknowledge,fear,respond,gain,potentially,happy,monetary,kinds,finish,criminal,talked,reforms,mother,responsibility,walls,indicated,outrageous,conversation,maintain,basic
39,2.0,5.0,1,1,4,4,2,5,4,1,1,1,5.0,4.0,4.0,5,1,0,4,5,2,4,4,1,4.0,4,43,Female,Republican,3.0,0,4,1.0,95.0,ATTENTION,comprehensive,prosperity,workers,give,values,attack,recognize,terror,answer,profit,potentially,glad,financial,types,end,criminal,spoke,reforms,mom,duty,barriers,announced,outrageous,discussion,preserve,fundamental
41,3.0,4.0,3,1,5,2,2,1,3,4,1,3,5.0,2.0,4.0,5,1,0,5,5,3,3,1,0,3.0,5,30,Male,Republican,2.0,3,2,1.0,85.0,"Yes, I was paying ATTENTION",complete,prosperity,employees,contribute,values,assault,recognize,fear,answer,gain,possibly,happy,monetary,kinds,finish,illegal,talked,changes,mother,responsibility,walls,indicated,excessive,conversation,maintain,fundamental
42,4.0,5.0,2,2,3,4,2,5,5,5,2,4,5.0,2.0,4.0,3,2,5,2,1,5,3,5,2,2.0,0,52,Female,Independent,-2.0,-2,5,1.0,30.0,ATTENTION,complete,wealth,workers,contribute,principles,attack,recognize,terror,respond,profit,possibly,glad,financial,kinds,finish,illegal,spoke,reforms,mother,responsibility,walls,indicated,excessive,discussion,maintain,basic
